utime stime cutime cstime umode umodelowpriority smode idle time vmpeak vmsize
0 0 0 0 1224352 458268 121804 3588015 1363245830 126960 126960
17 3 0 0 1224373 458268 121808 3588047 1363245830 182960 182960
42 4 0 0 1224399 458268 121812 3588074 1363245830 182960 182960
72 5 0 0 1224430 458268 121814 3588099 1363245831 182960 182960
104 5 0 0 1224462 458268 121816 3588124 1363245831 182960 182960
135 6 0 0 1224490 458268 121818 3588149 1363245831 182960 182960
166 6 0 0 1224524 458268 121819 3588174 1363245831 182960 182960
196 6 0 0 1224557 458268 121822 3588199 1363245831 182960 182960
228 8 0 0 1224588 458268 121825 3588225 1363245831 182960 182960
260 8 0 0 1224628 458268 121827 3588250 1363245831 182960 182960
293 8 0 0 1224660 458268 121830 3588275 1363245832 182960 182960
323 9 0 0 1224692 458268 121833 3588300 1363245832 182960 182960
354 9 0 0 1224722 458268 121836 3588326 1363245832 182960 182960
385 9 0 0 1224758 458268 121837 3588350 1363245832 182960 182960
415 9 0 0 1224791 458268 121838 3588375 1363245832 182960 182960
441 10 0 0 1224815 458268 121840 3588403 1363245832 182960 182960
472 10 0 0 1224846 458268 121842 3588427 1363245833 182960 182960
505 11 0 0 1224876 458268 121844 3588454 1363245833 182960 182960
535 11 0 0 1224904 458268 121847 3588478 1363245833 182960 182960
566 12 0 0 1224938 458268 121851 3588503 1363245833 182960 182960
596 13 0 0 1224965 458268 121855 3588529 1363245833 182960 182960
628 14 0 0 1224994 458268 121856 3588554 1363245833 182960 182960
660 14 0 0 1225030 458268 121858 3588579 1363245833 182960 182960
688 14 0 0 1225060 458268 121860 3588605 1363245834 182960 182960
720 14 0 0 1225090 458268 121862 3588629 1363245834 182960 182960
749 14 0 0 1225120 458268 121864 3588655 1363245834 182960 182960
778 14 0 0 1225155 458268 121865 3588681 1363245834 182960 182960
808 14 0 0 1225186 458268 121867 3588707 1363245834 182960 182960
839 14 0 0 1225214 458268 121869 3588731 1363245834 182960 182960
866 15 0 0 1225242 458268 121870 3588757 1363245834 182960 182960
897 15 0 0 1225274 458268 121873 3588781 1363245835 182960 182960
926 16 0 0 1225301 458268 121875 3588805 1363245835 182960 182960
956 16 0 0 1225330 458268 121878 3588833 1363245835 182960 182960
984 16 0 0 1225357 458268 121880 3588859 1363245835 182960 182960
1010 16 0 0 1225388 458268 121881 3588884 1363245835 182960 182960
1036 17 0 0 1225416 458268 121882 3588910 1363245835 182960 182960
1065 17 0 0 1225446 458268 121885 3588937 1363245835 182960 182960
1092 17 0 0 1225464 458268 121886 3588963 1363245836 182960 182960
1121 18 0 0 1225493 458268 121888 3588988 1363245836 182960 182960
1150 19 0 0 1225528 458268 121891 3589015 1363245836 182960 182960
1181 20 0 0 1225559 458268 121894 3589039 1363245836 182960 182960
1214 20 0 0 1225591 458268 121896 3589064 1363245836 182960 182960
1244 21 0 0 1225619 458268 121898 3589089 1363245836 182960 182960
1276 21 0 0 1225657 458268 121901 3589113 1363245836 182960 182960
1308 21 0 0 1225689 458268 121902 3589136 1363245837 182960 182960
1335 22 0 0 1225723 458268 121905 3589163 1363245837 182960 182960
1362 23 0 0 1225747 458268 121907 3589189 1363245837 182960 182960
1394 23 0 0 1225776 458268 121908 3589214 1363245837 182960 182960
1423 24 0 0 1225805 458268 121910 3589239 1363245837 182960 182960
1451 24 0 0 1225840 458268 121912 3589265 1363245837 182960 182960
1479 24 0 0 1225871 458268 121914 3589289 1363245837 182960 182960
1510 24 0 0 1225901 458268 121915 3589315 1363245838 182960 182960
1540 25 0 0 1225929 458268 121918 3589339 1363245838 182960 182960
1569 25 0 0 1225963 458268 121919 3589367 1363245838 182960 182960
1595 26 0 0 1225985 458268 121920 3589393 1363245838 182960 182960
1627 26 0 0 1226022 458268 121922 3589418 1363245838 182960 182960
1659 26 0 0 1226049 458268 121924 3589441 1363245838 182960 182960
1690 26 0 0 1226077 458268 121926 3589467 1363245838 182960 182960
1722 26 0 0 1226115 458268 121926 3589491 1363245839 182960 182960
1749 26 0 0 1226143 458268 121928 3589517 1363245839 182960 182960
1779 26 0 0 1226177 458268 121930 3589542 1363245839 182960 182960
1811 26 0 0 1226211 458268 121931 3589566 1363245839 182960 182960
1842 26 0 0 1226246 458268 121934 3589591 1363245839 182960 182960
1874 26 0 0 1226278 458268 121936 3589616 1363245839 182960 182960
1902 27 0 0 1226307 458268 121939 3589641 1363245840 182960 182960
1930 27 0 0 1226330 458268 121939 3589666 1363245840 182960 182960
1961 27 0 0 1226364 458268 121941 3589691 1363245840 182960 182960
1994 28 0 0 1226399 458268 121943 3589716 1363245840 182960 182960
2022 29 0 0 1226422 458268 121947 3589741 1363245840 182960 182960
2048 30 0 0 1226448 458268 121948 3589766 1363245840 182960 182960
2078 30 0 0 1226483 458268 121951 3589792 1363245840 182960 182960
2108 30 0 0 1226514 458268 121953 3589817 1363245841 182960 182960
2137 30 0 0 1226548 458268 121953 3589842 1363245841 182960 182960
2169 30 0 0 1226579 458268 121954 3589865 1363245841 182960 182960
2200 30 0 0 1226608 458268 121956 3589891 1363245841 182960 182960
2228 32 0 0 1226638 458268 121958 3589917 1363245841 182960 182960
2259 32 0 0 1226670 458268 121963 3589941 1363245841 182960 182960
2287 33 0 0 1226697 458268 121966 3589967 1363245841 182960 182960
2316 34 0 0 1226724 458268 121967 3589991 1363245842 182960 182960
2345 35 0 0 1226751 458268 121969 3590017 1363245842 182960 182960
2374 35 0 0 1226785 458268 121969 3590043 1363245842 182960 182960
2402 35 0 0 1226813 458268 121970 3590069 1363245842 182960 182960
2432 35 0 0 1226842 458268 121974 3590094 1363245842 182960 182960
2458 35 0 0 1226869 458268 121974 3590119 1363245842 182960 182960
