utime stime cutime cstime umode umodelowpriority smode idle time
43386 8027 0 0 347008 290 77030 5507795 1363019318
43386 8027 0 0 347016 290 77032 5508085 1363019319
43386 8027 0 0 347030 290 77038 5508365 1363019320
43386 8027 0 0 347034 290 77040 5508661 1363019320
43386 8027 0 0 347038 290 77044 5508958 1363019321
43386 8027 0 0 347045 290 77049 5509247 1363019322
43386 8027 0 0 347050 290 77052 5509538 1363019323
43386 8027 0 0 347053 290 77053 5509830 1363019324
43386 8027 0 0 347060 290 77055 5510123 1363019324
43386 8027 0 0 347067 290 77058 5510418 1363019325
43386 8027 0 0 347074 290 77062 5510710 1363019326
43386 8027 0 0 347078 290 77064 5511007 1363019327
43389 8027 0 0 347086 290 77068 5511294 1363019327
43389 8027 0 0 347089 290 77070 5511585 1363019328
43389 8027 0 0 347093 290 77075 5511878 1363019329
43389 8027 0 0 347099 290 77076 5512173 1363019330
43438 8027 0 0 347154 290 77079 5512421 1363019330
43509 8027 0 0 347229 290 77080 5512642 1363019331
43509 8027 0 0 347243 290 77084 5512918 1363019332
43509 8027 0 0 347247 290 77089 5513214 1363019333
43509 8027 0 0 347251 290 77093 5513510 1363019333
43542 8027 0 0 347287 290 77096 5513772 1363019334
43617 8027 0 0 347364 290 77097 5513995 1363019335
43692 8027 0 0 347443 290 77097 5514218 1363019336
43767 8027 0 0 347522 290 77098 5514439 1363019336
43843 8027 0 0 347598 290 77099 5514662 1363019337
43918 8027 0 0 347675 290 77100 5514882 1363019338
43993 8027 0 0 347753 290 77102 5515105 1363019339
44069 8027 0 0 347829 290 77102 5515328 1363019339
44144 8027 0 0 347908 290 77104 5515551 1363019340
44219 8027 0 0 347984 290 77105 5515775 1363019341
44294 8027 0 0 348060 290 77105 5515998 1363019342
44369 8027 0 0 348137 290 77106 5516216 1363019342
44445 8027 0 0 348214 290 77107 5516439 1363019343
44520 8028 0 0 348292 290 77110 5516663 1363019344
44596 8028 0 0 348374 290 77111 5516884 1363019345
44672 8028 0 0 348453 290 77113 5517106 1363019345
44748 8028 0 0 348534 290 77117 5517327 1363019346
44824 8028 0 0 348613 290 77119 5517548 1363019347
44900 8028 0 0 348697 290 77122 5517763 1363019348
44976 8028 0 0 348776 290 77124 5517986 1363019349
45052 8028 0 0 348856 290 77125 5518206 1363019349
45127 8028 0 0 348934 290 77126 5518430 1363019350
45202 8028 0 0 349013 290 77126 5518652 1363019351
45278 8028 0 0 349090 290 77127 5518875 1363019352
45353 8028 0 0 349166 290 77127 5519099 1363019352
45428 8028 0 0 349243 290 77128 5519322 1363019353
45503 8028 0 0 349322 290 77128 5519538 1363019354
45579 8028 0 0 349404 290 77129 5519758 1363019355
45655 8028 0 0 349485 290 77132 5519979 1363019355
45731 8028 0 0 349567 290 77133 5520200 1363019356
45808 8028 0 0 349647 290 77136 5520421 1363019357
45883 8028 0 0 349727 290 77139 5520644 1363019358
45960 8028 0 0 349812 290 77143 5520861 1363019358
46036 8028 0 0 349889 290 77144 5521085 1363019359
46111 8028 0 0 349965 290 77146 5521305 1363019360
46186 8028 0 0 350041 290 77146 5521529 1363019361
46261 8029 0 0 350119 290 77147 5521753 1363019361
46336 8029 0 0 350199 290 77148 5521965 1363019362
46412 8029 0 0 350280 290 77151 5522185 1363019363
46488 8029 0 0 350360 290 77154 5522398 1363019364
46564 8029 0 0 350439 290 77156 5522616 1363019364
46640 8029 0 0 350520 290 77157 5522839 1363019365
46716 8029 0 0 350599 290 77160 5523061 1363019366
46792 8029 0 0 350679 290 77162 5523281 1363019367
46868 8029 0 0 350759 290 77164 5523503 1363019368
46943 8029 0 0 350837 290 77165 5523727 1363019368
47018 8029 0 0 350913 290 77166 5523951 1363019369
47094 8029 0 0 350990 290 77166 5524170 1363019370
47169 8029 0 0 351067 290 77168 5524395 1363019371
47245 8029 0 0 351148 290 77169 5524617 1363019371
47320 8030 0 0 351235 290 77171 5524829 1363019372
47390 8030 0 0 351309 290 77174 5525057 1363019373
47390 8030 0 0 351316 290 77178 5525350 1363019374
47390 8030 0 0 351325 290 77181 5525638 1363019374
47390 8030 0 0 351329 290 77182 5525934 1363019375
47390 8030 0 0 351334 290 77185 5526227 1363019376
47390 8030 0 0 351337 290 77189 5526519 1363019377
47390 8030 0 0 351341 290 77190 5526811 1363019377
